,agent_id,family_name,initials_x,given_names,num_coll,start_year,end_year,full_name,left_side,right_side,similarity,dup_count,item,itemLabel,surname,initials_y,canonical_string,orcid,viaf,isni,harv,ipni,abbr,bloodhound_id,enc_au_sc_id,yob,yod,wyb,wye,wikidata_link,orcid_link,harv_link,ipni_link,bloodhound_link,enc_au_sc_link,au_dict_bio_link
0,1297,Beauglehole,A.C.,,69198,1929.0,2001.0,"Beauglehole, A.C.","Beauglehole, A.C.","Beauglehole, A.C.",1.0,1.0,http://www.wikidata.org/entity/Q16744919,Alexander Clifford Beauglehole,Beauglehole,A.C.,"Beauglehole, A.C.",,,,,,,Q16744919,P000214b,1920.0,2002.0,,,http://www.wikidata.org/wiki/Q16744919,,,,https://bloodhound-tracker.net/Q16744919,http://www.eoas.info/biogs/P000214b,
2,19313,Stone,I.G.,,25428,1960.0,1999.0,"Stone, I.G.","Stone, I.G.","Stone, I.G.",1.0,1.0,http://www.wikidata.org/entity/Q6000720,Ilma Grace Stone,Stone,I.G.,"Stone, I.G.",,163909337,0000 0001 1247 4965,40174,27255-1,I.G.Stone,,,1913.0,2001.0,,,http://www.wikidata.org/wiki/Q6000720,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=40174,https://www.ipni.org/a/27255-1,,,
5,6458,Filson,R.B.,Rex,15193,1933.0,2000.0,"Filson, R.B.","Filson, R.B.","Filson, R.B.",1.0,1.0,http://www.wikidata.org/entity/Q21339388,Rex Bertram Filson,Filson,R.B.,"Filson, R.B.",,,,76762,18803-1,Filson,,P002347b,1930.0,,,,http://www.wikidata.org/wiki/Q21339388,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=76762,https://www.ipni.org/a/18803-1,,http://www.eoas.info/biogs/P002347b,
6,6771,Forster,P.I.,Paul Irwin,12226,1955.0,2118.0,"Forster, P.I.","Forster, P.I.","Forster, P.I.",1.0,1.0,http://www.wikidata.org/entity/Q9057027,Paul Irwin Forster,Forster,P.I.,"Forster, P.I.",,,,,18907-1,P.I.Forst.,,,1961.0,,,,http://www.wikidata.org/wiki/Q9057027,,,https://www.ipni.org/a/18907-1,,,
10,20954,Walsh,N.G.,Neville,9122,1971.0,2020.0,"Walsh, N.G.","Walsh, N.G.","Walsh, N.G.",1.0,1.0,http://www.wikidata.org/entity/Q6041421,Neville Grant Walsh,Walsh,N.G.,"Walsh, N.G.",,18877199,0000 0000 6385 4733,,14171-1,N.G.Walsh,,P005329b,1956.0,,,,http://www.wikidata.org/wiki/Q6041421,,,https://www.ipni.org/a/14171-1,,http://www.eoas.info/biogs/P005329b,
11,4942,Dallachy,J.,John,8181,1850.0,1883.0,"Dallachy, J.","Dallachy, J.","Dallachy, J.",1.0,1.0,http://www.wikidata.org/entity/Q16065577,John Dallachy,Dallachy,J.,"Dallachy, J.",,,,,,,,P000040b,1803.0,1871.0,,,http://www.wikidata.org/wiki/Q16065577,,,,,http://www.eoas.info/biogs/P000040b,http://adb.anu.edu.au/biography/dallachy-john-3355
19,168,Albrecht,D.E.,David,6330,1958.0,2017.0,"Albrecht, D.E.","Albrecht, D.E.","Albrecht, D.E.",1.0,1.0,http://www.wikidata.org/entity/Q8354093,David Edward Albrecht,Albrecht,D.E.,"Albrecht, D.E.",,4256153184549027100009,,60179,14172-1,Albr.,,P005243b,1962.0,,,,http://www.wikidata.org/wiki/Q8354093,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=60179,https://www.ipni.org/a/14172-1,,http://www.eoas.info/biogs/P005243b,
22,4312,Corrick,M.G.,Margaret Georgina,5938,1956.0,2007.0,"Corrick, M.G.","Corrick, M.G.","Corrick, M.G.",1.0,1.0,http://www.wikidata.org/entity/Q21509106,Margaret Georgina Corrick,Corrick,M.G.,"Corrick, M.G.",,,,,12119-1,Corrick,,,1922.0,,,,http://www.wikidata.org/wiki/Q21509106,,,https://www.ipni.org/a/12119-1,,,
28,10324,Jobson,P.C.,Peter,4329,1970.0,2015.0,"Jobson, P.C.","Jobson, P.C.","Jobson, P.C.",1.0,1.0,http://www.wikidata.org/entity/Q21391683,Peter C. Jobson,Jobson,P.C.,"Jobson, P.C.",,,,20908,38452-1,Jobson,,,1965.0,,,,http://www.wikidata.org/wiki/Q21391683,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=20908,https://www.ipni.org/a/38452-1,,,
34,6124,Entwisle,T.J.,Tim,3888,1980.0,2015.0,"Entwisle, T.J.","Entwisle, T.J.","Entwisle, T.J.",1.0,1.0,http://www.wikidata.org/entity/Q21512240,Timothy John Entwisle,Entwisle,T.J.,"Entwisle, T.J.",,93619302,0000 0000 7739 0319,66259.0,14571-1,Entwisle,,,1960.0,,,,http://www.wikidata.org/wiki/Q21512240,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=66259,https://www.ipni.org/a/14571-1,,,
35,20837,Wakefield,N.A.,,3702,1926.0,1989.0,"Wakefield, N.A.","Wakefield, N.A.","Wakefield, N.A.",1.0,1.0,http://www.wikidata.org/entity/Q7051918,Norman Arthur Wakefield,Wakefield,N.A.,"Wakefield, N.A.",,21877425,0000 0001 1044 2062,49120,11324-1,N.A.Wakef.,,,1918.0,1972.0,,,http://www.wikidata.org/wiki/Q7051918,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49120,https://www.ipni.org/a/11324-1,,,http://adb.anu.edu.au/biography/wakefield-norman-arthur-11933
36,22193,Woolls,W.,William,3654,1823.0,1921.0,"Woolls, W.","Woolls, W.","Woolls, W.",1.0,1.0,http://www.wikidata.org/entity/Q1375232,William Woolls,Woolls,W.,"Woolls, W.",,58065464,0000 0000 6314 9209,49846.0,11862-1,Woolls,,P000191b,1814.0,1893.0,,,http://www.wikidata.org/wiki/Q1375232,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=49846,https://www.ipni.org/a/11862-1,,http://www.eoas.info/biogs/P000191b,http://adb.anu.edu.au/biography/woolls-william-4886
37,26843,Gates,G.M.,Genevieve,3524,1996.0,2019.0,"Gates, G.M.","Gates, G.M.","Gates, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q36562288,Genevieve M. Gates,Gates,G.M.,"Gates, G.M.",,,,,20019488-1,G.M.Gates,,,,,,,http://www.wikidata.org/wiki/Q36562288,,,https://www.ipni.org/a/20019488-1,,,
41,21860,Williamson,H.B.,Herbert Bennett,3458,1828.0,1930.0,"Williamson, H.B.","Williamson, H.B.","Williamson, H.B.",1.0,1.0,http://www.wikidata.org/entity/Q20016691,Herbert Bennett Williamson,Williamson,H.B.,"Williamson, H.B.",,,,38662,11712-1,H.B.Will.,,P002763b,1860.0,1931.0,,,http://www.wikidata.org/wiki/Q20016691,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38662,https://www.ipni.org/a/11712-1,,http://www.eoas.info/biogs/P002763b,
45,6676,Forbes,S.J.,,3399,1976.0,1991.0,"Forbes, S.J.","Forbes, S.J.","Forbes, S.J.",1.0,1.0,http://www.wikidata.org/entity/Q21513320,Stephen J. Forbes,Forbes,S.J.,"Forbes, S.J.",,,,,37432-1,S.J.Forbes,,,1953.0,,,,http://www.wikidata.org/wiki/Q21513320,,,https://www.ipni.org/a/37432-1,,,
46,3631,Chippendale,G.M.,,3383,1951.0,1976.0,"Chippendale, G.M.","Chippendale, G.M.","Chippendale, G.M.",1.0,1.0,http://www.wikidata.org/entity/Q5537873,George McCartney Chippendale,Chippendale,G.M.,"Chippendale, G.M.",,8631458,0000 0000 8423 5309,18250.0,1601-1,Chippend.,Q5537873,P005133b,1921.0,2010.0,,,http://www.wikidata.org/wiki/Q5537873,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18250,https://www.ipni.org/a/1601-1,https://bloodhound-tracker.net/Q5537873,http://www.eoas.info/biogs/P005133b,
48,9632,Hosking,J.R.,John,3319,1977.0,2017.0,"Hosking, J.R.","Hosking, J.R.","Hosking, J.R.",1.0,1.0,http://www.wikidata.org/entity/Q21516084,John Robert Hosking,Hosking,J.R.,"Hosking, J.R.",,,,,39283-1,Hosking,,,1952.0,,,,http://www.wikidata.org/wiki/Q21516084,,,https://www.ipni.org/a/39283-1,,,
54,1334,Beckler,H.,Herman,2995,1857.0,1933.0,"Beckler, H.","Beckler, H.","Beckler, H.",1.0,1.0,http://www.wikidata.org/entity/Q21033810,Hermann Beckler,Beckler,H.,"Beckler, H.",,1196895,0000 0000 8349 996X,,,,,P005171b,1828.0,1914.0,,,http://www.wikidata.org/wiki/Q21033810,,,,,http://www.eoas.info/biogs/P005171b,
55,10213,Jeanes,J.A.,Jeff,2914,1983.0,2018.0,"Jeanes, J.A.","Jeanes, J.A.","Jeanes, J.A.",1.0,1.0,http://www.wikidata.org/entity/Q21395685,Jeffrey A. Jeanes,Jeanes,J.A.,"Jeanes, J.A.",,,,41963,39451-1,Jeanes,,,,,,,http://www.wikidata.org/wiki/Q21395685,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41963,https://www.ipni.org/a/39451-1,,,
56,19830,Tepper,J.G.O.,,2876,1829.0,1988.0,"Tepper, J.G.O.","Tepper, J.G.O.","Tepper, J.G.O.",1.0,1.0,http://www.wikidata.org/entity/Q2891010,Johann Gottlieb Otto Tepper,Tepper,J.G.O.,"Tepper, J.G.O.",,92102539,0000 0000 6611 3308,7487.0,10515-1,Tepper,,P005954b,1841.0,1923.0,,,http://www.wikidata.org/wiki/Q2891010,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=7487,https://www.ipni.org/a/10515-1,,http://www.eoas.info/biogs/P005954b,http://adb.anu.edu.au/biography/tepper-johann-gottlieb-otto-13215
57,5344,Dietrich,A.,Amalia,2754,1860.0,1880.0,"Dietrich, A.","Dietrich, A.","Dietrich, A.",1.0,1.0,http://www.wikidata.org/entity/Q76851,Amalie Dietrich,Dietrich,A.,"Dietrich, A.",,77113813,0000 0000 3219 7769,8587.0,,,Q76851,P000366b,1821.0,1891.0,,,http://www.wikidata.org/wiki/Q76851,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=8587,,https://bloodhound-tracker.net/Q76851,http://www.eoas.info/biogs/P000366b,http://adb.anu.edu.au/biography/dietrich-amalie-3412
59,1148,Bastow,R.A.,,2694,1854.0,1950.0,"Bastow, R.A.","Bastow, R.A.","Bastow, R.A.",1.0,1.0,http://www.wikidata.org/entity/Q7323833,Richard Austin Bastow,Bastow,R.A.,"Bastow, R.A.",,1450150748994516420005,,23972.0,15765-1,Bastow,,P000207b,1839.0,1920.0,,,http://www.wikidata.org/wiki/Q7323833,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23972,https://www.ipni.org/a/15765-1,,http://www.eoas.info/biogs/P000207b,
60,11496,Latz,P.K.,,2605,1967.0,2013.0,"Latz, P.K.","Latz, P.K.","Latz, P.K.",1.0,1.0,http://www.wikidata.org/entity/Q21518413,Peter K. Latz,Latz,P.K.,"Latz, P.K.",,9116331,0000 0000 6384 1764,36654,35446-1,Latz,,,1941.0,,,,http://www.wikidata.org/wiki/Q21518413,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=36654,https://www.ipni.org/a/35446-1,,,
61,20964,Walter,C.,Charles,2589,1867.0,1999.0,"Walter, C.","Walter, C.","Walter, C.",1.0,1.0,http://www.wikidata.org/entity/Q17053407,Carl Walter,Walter,C.,"Walter, C.",,91829033,0000 0001 2030 6160,37942,13332-1,C.Walter,,P001520b,1831.0,1907.0,,,http://www.wikidata.org/wiki/Q17053407,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=37942,https://www.ipni.org/a/13332-1,,http://www.eoas.info/biogs/P001520b,
81,14765,Nicholls,W.H.,,2267,1921.0,1962.0,"Nicholls, W.H.","Nicholls, W.H.","Nicholls, W.H.",1.0,1.0,http://www.wikidata.org/entity/Q10393700,William Henry Nicholls,Nicholls,W.H.,"Nicholls, W.H.",,92594457,,23849,6958-1,Nicholls,,P000672b,1885.0,1951.0,,,http://www.wikidata.org/wiki/Q10393700,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23849,https://www.ipni.org/a/6958-1,,http://www.eoas.info/biogs/P000672b,http://adb.anu.edu.au/biography/nicholls-william-henry-will-7841
82,3266,Carr,G.W.,Geoff,2262,1924.0,2015.0,"Carr, G.W.","Carr, G.W.","Carr, G.W.",1.0,1.0,http://www.wikidata.org/entity/Q3281577,Geoffrey William Carr,Carr,G.W.,"Carr, G.W.",,,,,13236-1,G.W.Carr,,,1948.0,,,,http://www.wikidata.org/wiki/Q3281577,,,https://www.ipni.org/a/13236-1,,,
88,1844,Blake,S.T.,,2108,1917.0,1980.0,"Blake, S.T.","Blake, S.T.","Blake, S.T.",1.0,1.0,http://www.wikidata.org/entity/Q2984580,Stanley Thatcher Blake,Blake,S.T.,"Blake, S.T.",,304022808,0000 0000 6521 9151,13863.0,838-1,S.T.Blake,,P001391b,1910.0,1973.0,,,http://www.wikidata.org/wiki/Q2984580,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13863,https://www.ipni.org/a/838-1,,http://www.eoas.info/biogs/P001391b,
91,11583,Lazarides,M.,Mike,2012,1938.0,1988.0,"Lazarides, M.","Lazarides, M.","Lazarides, M.",1.0,1.0,http://www.wikidata.org/entity/Q6012831,Michael Lazarides,Lazarides,M.,"Lazarides, M.",,,,38062,5361-1,Lazarides,Q6012831,P005675b,1928.0,2011.0,,,http://www.wikidata.org/wiki/Q6012831,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38062,https://www.ipni.org/a/5361-1,https://bloodhound-tracker.net/Q6012831,http://www.eoas.info/biogs/P005675b,
92,5867,Ecklon,C.F.,Christian,1995,1817.0,1870.0,"Ecklon, C.F.","Ecklon, C.F.","Ecklon, C.F.",1.0,1.0,http://www.wikidata.org/entity/Q643765,Christian Friedrich Ecklon,Ecklon,C.F.,"Ecklon, C.F.",,20429529,0000 0000 3769 1221,23712.0,2457-1,Eckl.,,,1795.0,1868.0,,,http://www.wikidata.org/wiki/Q643765,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23712,https://www.ipni.org/a/2457-1,,,
99,15050,O'Shanesy,P.A.,Patrick,1934,1863.0,1887.0,"O'Shanesy, P.A.","O'Shanesy, P.A.","O'Shanesy, P.A.",1.0,1.0,http://www.wikidata.org/entity/Q21522303,Patrick Adams O'Shanesy,O'Shanesy,P.A.,"O'Shanesy, P.A.",,,,,20000187-1,O'Shanesy,,,1837.0,1884.0,,,http://www.wikidata.org/wiki/Q21522303,,,https://www.ipni.org/a/20000187-1,,,
107,4541,Crichton,G.A.,,1789,1945.0,1997.0,"Crichton, G.A.","Crichton, G.A.","Crichton, G.A.",1.0,1.0,http://www.wikidata.org/entity/Q47115863,George A. Crichton,Crichton,G.A.,"Crichton, G.A.",,,,,17519-1,Crichton,,,,1989.0,,,http://www.wikidata.org/wiki/Q47115863,,,https://www.ipni.org/a/17519-1,,,
110,4754,Cunningham,A.,Allan,1723,1812.0,1867.0,"Cunningham, A.","Cunningham, A.","Cunningham, A.",1.0,1.0,http://www.wikidata.org/entity/Q545888,Allan Cunningham,Cunningham,A.,"Cunningham, A.",,15528184,0000 0000 6317 2409,46902.0,1916-1,A.Cunn.,,P000337b,1791.0,1839.0,,,http://www.wikidata.org/wiki/Q545888,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46902,https://www.ipni.org/a/1916-1,,http://www.eoas.info/biogs/P000337b,http://adb.anu.edu.au/biography/cunningham-allan-1941
113,5761,Duretto,M.F.,Marco,1661,1991.0,2010.0,"Duretto, M.F.","Duretto, M.F.","Duretto, M.F.",1.0,1.0,http://www.wikidata.org/entity/Q5996322,Marco F. Duretto,Duretto,M.F.,"Duretto, M.F.",,,,63738,37683-1,Duretto,,,1964.0,,,,http://www.wikidata.org/wiki/Q5996322,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63738,https://www.ipni.org/a/37683-1,,,
126,20003,Thozet,A.,Anthelme,1522,1866.0,1881.0,"Thozet, A.","Thozet, A.","Thozet, A.",1.0,1.0,http://www.wikidata.org/entity/Q4771567,Anthelme Thozet,Thozet,A.,"Thozet, A.",,92729674,,38706.0,10641-1,Thozet,,,1826.0,1878.0,,,http://www.wikidata.org/wiki/Q4771567,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=38706,https://www.ipni.org/a/10641-1,,,
128,8921,Helms,R.,Richard,1481,1871.0,1981.0,"Helms, R.","Helms, R.","Helms, R.",1.0,1.0,http://www.wikidata.org/entity/Q19877827,Richard Helms,Helms,R.,"Helms, R.",,84145067250966630685,,23189.0,13290-1,Helms,,P000487b,1842.0,1914.0,,,http://www.wikidata.org/wiki/Q19877827,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=23189,https://www.ipni.org/a/13290-1,,http://www.eoas.info/biogs/P000487b,http://adb.anu.edu.au/biography/helms-richard-3747
130,1168,Bates,R.J.,,1414,1968.0,2014.0,"Bates, R.J.","Bates, R.J.","Bates, R.J.",1.0,1.0,http://www.wikidata.org/entity/Q6109468,Robert J. Bates,Bates,R.J.,"Bates, R.J.",,,,65346,13250-1,R.J.Bates,,,1946.0,,,,http://www.wikidata.org/wiki/Q6109468,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=65346,https://www.ipni.org/a/13250-1,,,
133,10459,Jones,D.L.,David Lloyd,1385,1960.0,2006.0,"Jones, D.L.","Jones, D.L.","Jones, D.L.",1.0,1.0,http://www.wikidata.org/entity/Q1175070,David Lloyd Jones,Jones,D.L.,"Jones, D.L.",,34558570,0000 0001 1053 0310,17797.0,4531-1,D.L.Jones,,,1944.0,,,,http://www.wikidata.org/wiki/Q1175070,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=17797,https://www.ipni.org/a/4531-1,,,
134,9468,Holtze,M.W.,Maurice Waldemar,1361,1867.0,1911.0,"Holtze, M.W.","Holtze, M.W.","Holtze, M.W.",1.0,1.0,http://www.wikidata.org/entity/Q6793541,Maurice William Holtze,Holtze,M.W.,"Holtze, M.W.",,28720157,0000 0000 6322 108X,11267,20034239-1,M.Holtze,,P001101b,1840.0,1923.0,,,http://www.wikidata.org/wiki/Q6793541,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=11267,https://www.ipni.org/a/20034239-1,,http://www.eoas.info/biogs/P001101b,http://adb.anu.edu.au/biography/holtze-maurice-william-6720
135,9708,Howitt,A.W.,,1335,1838.0,1903.0,"Howitt, A.W.","Howitt, A.W.","Howitt, A.W.",1.0,1.0,http://www.wikidata.org/entity/Q368705,Alfred William Howitt,Howitt,A.W.,"Howitt, A.W.",,46859779,0000 0000 8379 5275,41666.0,13294-1,A.W.Howitt,,P000507b,1830.0,1908.0,,,http://www.wikidata.org/wiki/Q368705,,https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=41666,https://www.ipni.org/a/13294-1,,http://www.eoas.info/biogs/P000507b,http://adb.anu.edu.au/biography/howitt-alfred-william-510
136,13655,Messina,A.,Andre,1330,2006.0,2020.0,"Messina, A.","Messina, A.","Messina, A.",1.0,1.0,http://www.wikidata.org/entity/Q18986897,Andre Messina,Messina,A.,"Messina, A.",,,,,20016742-1,Messina,,,,,,,http://www.wikidata.org/wiki/Q18986897,,,https://www.ipni.org/a/20016742-1,,,
